Happiness Rank,Country,Region,Happiness Score,Economy (GDP per Capita),Social support,Health (Life Expectancy),Freedom to make life choices,Trust (Government Corruption)
1,Norway,Western Europe,7.537,1.616,1.534,0.797,0.635,0.316
2,Denmark,Western Europe,7.522,1.482,1.551,0.793,0.626,0.401
3,Iceland,Western Europe,7.504,1.481,1.611,0.834,0.627,0.154
4,Switzerland,Western Europe,7.494,1.565,1.517,0.858,0.62,0.367
5,Finland,Western Europe,7.469,1.444,1.54,0.809,0.618,0.383
6,Netherlands,Western Europe,7.377,1.504,1.429,0.811,0.585,0.283
7,Canada,North America,7.316,1.479,1.481,0.835,0.611,0.287
8,New Zealand,Australia and New Zealand,7.314,1.406,1.548,0.817,0.614,0.383
9,Sweden,Western Europe,7.284,1.494,1.478,0.831,0.613,0.384
10,Australia,Australia and New Zealand,7.284,1.484,1.51,0.844,0.602,0.301
11,Israel,Middle East and Northern Africa,7.213,1.375,1.376,0.838,0.406,0.085
12,Costa Rica,Latin America and Caribbean,7.079,1.11,1.416,0.76,0.58,0.1
13,Austria,Western Europe,7.006,1.487,1.46,0.815,0.568,0.221
14,United States,North America,6.993,1.546,1.42,0.774,0.506,0.136
15,Ireland,Western Europe,6.977,1.536,1.558,0.81,0.573,0.298
16,Germany,Western Europe,6.951,1.488,1.473,0.799,0.563,0.277
17,Belgium,Western Europe,6.891,1.464,1.462,0.818,0.54,0.251
18,Luxembourg,Western Europe,6.863,1.742,1.458,0.845,0.597,0.319
19,United Kingdom,Western Europe,6.714,1.442,1.496,0.805,0.508,0.265
20,Chile,Latin America and Caribbean,6.652,1.253,1.284,0.819,0.377,0.082
21,United Arab Emirates,Middle East and Northern Africa,6.648,1.626,1.266,0.727,0.608,0.324
22,Brazil,Latin America and Caribbean,6.635,1.107,1.431,0.617,0.437,0.111
23,Czech Republic,Central and Eastern Europe,6.609,1.353,1.434,0.754,0.491,0.037
24,Argentina,Latin America and Caribbean,6.599,1.185,1.44,0.695,0.495,0.06
25,Mexico,Latin America and Caribbean,6.578,1.153,1.211,0.71,0.413,0.133
26,Singapore,Southeastern Asia,6.572,1.692,1.354,0.949,0.55,0.464
27,Malta,Western Europe,6.527,1.343,1.488,0.822,0.589,0.153
28,Uruguay,Latin America and Caribbean,6.454,1.218,1.412,0.719,0.579,0.178
29,Guatemala,Latin America and Caribbean,6.454,0.872,1.256,0.54,0.531,0.077
30,Panama,Latin America and Caribbean,6.452,1.234,1.373,0.706,0.55,0.071
31,France,Western Europe,6.442,1.431,1.388,0.844,0.47,0.173
32,Thailand,Southeastern Asia,6.424,1.128,1.426,0.647,0.58,0.032
33,Taiwan Province of China,Eastern Asia,6.422,1.434,1.385,0.794,0.361,0.064
34,Spain,Western Europe,6.403,1.384,1.532,0.889,0.409,0.071
35,Qatar,Middle East and Northern Africa,6.375,1.871,1.274,0.71,0.604,0.439
36,Colombia,Latin America and Caribbean,6.357,1.071,1.402,0.595,0.477,0.047
37,Saudi Arabia,Middle East and Northern Africa,6.344,1.531,1.287,0.59,0.45,0.273
38,Trinidad and Tobago,Latin America and Caribbean,6.168,1.361,1.38,0.52,0.519,0.009
39,Kuwait,Middle East and Northern Africa,6.105,1.633,1.26,0.632,0.496,0.215
40,Slovakia,Central and Eastern Europe,6.098,1.325,1.505,0.713,0.296,0.024
41,Bahrain,Middle East and Northern Africa,6.087,1.488,1.323,0.653,0.537,0.257
42,Malaysia,Southeastern Asia,6.084,1.291,1.285,0.619,0.402,0.066
43,Nicaragua,Latin America and Caribbean,6.071,0.737,1.287,0.653,0.448,0.131
44,Ecuador,Latin America and Caribbean,6.008,1.001,1.286,0.686,0.455,0.14
45,El Salvador,Latin America and Caribbean,6.003,0.91,1.182,0.596,0.432,0.09
46,Poland,Central and Eastern Europe,5.973,1.292,1.446,0.699,0.52,0.059
47,Uzbekistan,Central and Eastern Europe,5.971,0.786,1.549,0.498,0.658,0.247
48,Italy,Western Europe,5.964,1.395,1.445,0.853,0.256,0.028
49,Russia,Central and Eastern Europe,5.963,1.282,1.469,0.547,0.374,0.033
50,Belize,Latin America and Caribbean,5.956,0.908,1.081,0.45,0.548,0.097
51,Japan,Eastern Asia,5.92,1.417,1.436,0.913,0.506,0.164
52,Lithuania,Central and Eastern Europe,5.902,1.315,1.474,0.629,0.234,0.012
53,Algeria,Middle East and Northern Africa,5.872,1.092,1.146,0.618,0.233,0.146
54,Latvia,Central and Eastern Europe,5.85,1.261,1.405,0.639,0.326,0.074
55,South Korea,Eastern Asia,5.838,1.402,1.128,0.9,0.258,0.063
56,Moldova,Central and Eastern Europe,5.838,0.729,1.252,0.589,0.241,0.01
57,Romania,Central and Eastern Europe,5.825,1.218,1.15,0.685,0.457,0.004
58,Bolivia,Latin America and Caribbean,5.823,0.834,1.228,0.474,0.559,0.06
59,Turkmenistan,Central and Eastern Europe,5.822,1.131,1.493,0.438,0.418,0.259
60,Kazakhstan,Central and Eastern Europe,5.819,1.285,1.384,0.606,0.437,0.119
61,North Cyprus,Western Europe,5.81,1.347,1.186,0.835,0.471,0.155
62,Slovenia,Central and Eastern Europe,5.758,1.341,1.453,0.791,0.573,0.045
63,Peru,Latin America and Caribbean,5.715,1.035,1.219,0.63,0.45,0.047
64,Mauritius,Sub-Saharan Africa,5.629,1.189,1.21,0.638,0.491,0.042
65,Cyprus,Western Europe,5.621,1.356,1.131,0.845,0.355,0.041
66,Estonia,Central and Eastern Europe,5.611,1.321,1.477,0.695,0.479,0.183
67,Belarus,Central and Eastern Europe,5.569,1.157,1.445,0.638,0.295,0.156
68,Libya,Middle East and Northern Africa,5.525,1.102,1.358,0.52,0.466,0.093
69,Turkey,Middle East and Northern Africa,5.5,1.198,1.338,0.638,0.301,0.1
70,Paraguay,Latin America and Caribbean,5.493,0.933,1.507,0.579,0.474,0.091
71,"Hong Kong S.A.R., China",Eastern Asia,5.472,1.552,1.263,0.943,0.491,0.294
72,Philippines,Southeastern Asia,5.43,0.858,1.254,0.468,0.585,0.099
73,Serbia,Central and Eastern Europe,5.395,1.069,1.258,0.651,0.209,0.041
74,Jordan,Middle East and Northern Africa,5.336,0.991,1.239,0.605,0.418,0.12
75,Hungary,Central and Eastern Europe,5.324,1.286,1.343,0.688,0.176,0.037
76,Jamaica,Latin America and Caribbean,5.311,0.926,1.368,0.641,0.474,0.055
77,Croatia,Central and Eastern Europe,5.293,1.223,0.968,0.701,0.256,0.043
78,Kosovo,Central and Eastern Europe,5.279,0.951,1.138,0.541,0.26,0.057
79,China,Eastern Asia,5.273,1.081,1.161,0.741,0.473,0.023
80,Pakistan,Southern Asia,5.269,0.727,0.673,0.402,0.235,0.124
81,Indonesia,Southeastern Asia,5.262,0.996,1.274,0.492,0.443,0.015
82,Venezuela,Latin America and Caribbean,5.25,1.128,1.431,0.617,0.154,0.064
83,Montenegro,Central and Eastern Europe,5.237,1.121,1.238,0.667,0.195,0.088
84,Morocco,Middle East and Northern Africa,5.235,0.878,0.775,0.598,0.408,0.088
85,Azerbaijan,Central and Eastern Europe,5.234,1.154,1.152,0.541,0.398,0.181
86,Dominican Republic,Latin America and Caribbean,5.23,1.079,1.402,0.575,0.553,0.114
87,Greece,Western Europe,5.227,1.289,1.239,0.81,0.096,0.043
88,Lebanon,Middle East and Northern Africa,5.225,1.075,1.13,0.735,0.289,0.038
89,Portugal,Western Europe,5.195,1.315,1.367,0.796,0.498,0.016
90,Bosnia and Herzegovina,Central and Eastern Europe,5.182,0.982,1.069,0.705,0.204,0.0
91,Honduras,Latin America and Caribbean,5.181,0.731,1.144,0.583,0.348,0.073
92,Macedonia,Central and Eastern Europe,5.175,1.065,1.208,0.645,0.326,0.06
93,Somalia,Sub-Saharan Africa,5.151,0.023,0.721,0.114,0.602,0.282
94,Vietnam,Southeastern Asia,5.074,0.789,1.277,0.652,0.571,0.088
95,Nigeria,Sub-Saharan Africa,5.074,0.784,1.216,0.057,0.395,0.026
96,Tajikistan,Central and Eastern Europe,5.041,0.525,1.271,0.529,0.472,0.146
97,Bhutan,Southern Asia,5.011,0.885,1.34,0.496,0.502,0.173
98,Kyrgyzstan,Central and Eastern Europe,5.004,0.596,1.394,0.553,0.455,0.039
99,Nepal,Southern Asia,4.962,0.48,1.179,0.504,0.44,0.073
100,Mongolia,Eastern Asia,4.955,1.027,1.493,0.558,0.394,0.033
101,South Africa,Sub-Saharan Africa,4.829,1.055,1.385,0.187,0.479,0.073
102,Tunisia,Middle East and Northern Africa,4.805,1.007,0.868,0.613,0.29,0.087
103,Palestinian Territories,Middle East and Northern Africa,4.775,0.716,1.156,0.566,0.255,0.089
104,Egypt,Middle East and Northern Africa,4.735,0.99,0.997,0.52,0.282,0.114
105,Bulgaria,Central and Eastern Europe,4.714,1.161,1.434,0.708,0.289,0.011
106,Sierra Leone,Sub-Saharan Africa,4.709,0.368,0.984,0.006,0.319,0.071
107,Cameroon,Sub-Saharan Africa,4.695,0.564,0.946,0.133,0.43,0.051
108,Iran,Middle East and Northern Africa,4.692,1.157,0.712,0.639,0.249,0.049
109,Albania,Central and Eastern Europe,4.644,0.996,0.804,0.731,0.381,0.04
110,Bangladesh,Southern Asia,4.608,0.587,0.735,0.533,0.478,0.124
111,Namibia,Sub-Saharan Africa,4.574,0.964,1.098,0.339,0.52,0.093
112,Kenya,Sub-Saharan Africa,4.553,0.56,1.068,0.31,0.453,0.065
113,Mozambique,Sub-Saharan Africa,4.55,0.234,0.871,0.107,0.481,0.179
114,Myanmar,Southeastern Asia,4.545,0.367,1.123,0.398,0.514,0.189
115,Senegal,Sub-Saharan Africa,4.535,0.479,1.18,0.409,0.378,0.115
116,Zambia,Sub-Saharan Africa,4.514,0.636,1.003,0.258,0.462,0.078
117,Iraq,Middle East and Northern Africa,4.497,1.103,0.979,0.501,0.289,0.107
118,Gabon,Sub-Saharan Africa,4.465,1.198,1.156,0.357,0.312,0.076
119,Ethiopia,Sub-Saharan Africa,4.46,0.339,0.865,0.353,0.409,0.165
120,Sri Lanka,Southern Asia,4.44,1.01,1.26,0.625,0.561,0.074
121,Armenia,Central and Eastern Europe,4.376,0.901,1.007,0.638,0.198,0.027
122,India,Southern Asia,4.315,0.792,0.754,0.455,0.47,0.092
